"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M01","4.859513","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M02","4.859513","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M03","4.859513","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M04","4.885972","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M05","4.877152","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M06","4.978576","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M07","4.996214","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M08","4.960937","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M09","4.991805","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M10","5.044722","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M11","5.124096","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1955-M12","5.124096","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M01","5.106458","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M02","5.106458","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M03","5.172842","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M04","5.244332","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M05","5.234119","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M06","5.229012","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M07","5.208587","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M08","5.223906","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M09","5.213693","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M10","5.244332","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M11","5.264758","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1956-M12","5.280077","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M01","5.331142","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M02","5.326035","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M03","5.315823","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M04","5.336248","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M05","5.341355","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M06","5.397526","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M07","5.443484","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M08","5.433271","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M09","5.417952","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M10","5.469016","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M11","5.499655","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1957-M12","5.525187","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1958-M01","5.520081","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1958-M02","5.494548","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1958-M03","5.5354","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1958-M04","5.596677","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1958-M05","5.576252","Units"
