"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1955","12.27898402012332","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1956","12.46624521432999","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1957","12.88280583001422","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1958","13.23439827627982","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1959","13.36815627214172","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1960","13.56306078039765","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1961","13.70828374733344","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1962","13.87261499939236","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1963","14.04458956550052","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1964","14.22420744565795","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1965","14.44968521011088","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1966","14.88535411091824","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1967","15.29809306957785","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1968","15.9515964207889","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1969","16.82293422240362","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1970","17.8051000777325","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1971","18.5694314826577","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1972","19.17707494957324","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1973","20.36178862720729","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1974","22.612744614712","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1975","24.68026106503466","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1976","26.0980958211709","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1977","27.79491154010485","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1978","29.91593118877228","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1979","33.28281102746778","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1980","37.79236631652645","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1981","41.69809979569422","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1982","44.254788345169","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1983","45.67644475832988","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1984","47.64077646898765","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1985","49.32994887387232","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1986","50.2662548449057","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1987","52.10829353077542","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1988","54.2331348364675","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1989","56.85096989833628","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1990","59.91976048911098","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1991","62.4573407534626","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1992","64.34906098065248","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1993","66.24842452189162","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1994","67.97581349702252","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1995","69.88282035231092","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1996","71.93122851751048","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1997","73.61275760834588","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1998","74.75543305870905","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","1999","76.39110226524898","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2000","78.9707207568715","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2001","81.2025684592531","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2002","82.49046687655205","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2003","84.3630788186188","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2004","86.62167812017275","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2005","89.56053237211018","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2006","92.4497050827274","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2007","95.08699237885155","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2008","98.73747738534455","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2009","98.3864199710624","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2010","100","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2011","103.156841568622","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2012","105.2915045328674","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2013","106.833848874866","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2014","108.5669321189636","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2015","108.6957219606935","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2016","110.0670089342698","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2017","112.4115573023076","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2018","115.1573032247906","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2019","117.2441954762282","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2020","118.6905015771978","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2021","124.2664138258379","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2022","134.2112061684602","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2023","139.7357935632595","Units"
"United States","Consumer price index (CPI)","All Items","Index","Annual","2024","143.8573360146079","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1955-Q1","12.24458910690168","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1955-Q2","12.24458910690168","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1955-Q3","12.3057356192957","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1955-Q4","12.3210222473942","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1956-Q1","12.29044899119719","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1956-Q2","12.39745538788672","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1956-Q3","12.55032166887176","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1956-Q4","12.62675480936428","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1957-Q1","12.7031879498568","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1957-Q2","12.84076760274334","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1957-Q3","12.97834725562987","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1957-Q4","13.00892051182688","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1958-Q1","13.14650016471342","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1958-Q2","13.25350656140294","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1958-Q3","13.26879318950145","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1958-Q4","13.26879318950145","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1959-Q1","13.26879318950145","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1959-Q2","13.31465307379696","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1959-Q3","13.40637284238798","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1959-Q4","13.4828059828805","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1960-Q1","13.467519354782","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1960-Q2","13.54395249527452","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1960-Q3","13.57452575147153","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1960-Q4","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1961-Q1","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1961-Q2","13.66624552006255","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1961-Q3","13.74267866055507","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1961-Q4","13.75796528865358","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1962-Q1","13.78853854485059","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1962-Q2","13.8496850572446","Units"
"United States","Consumer price index (CPI)","All Items","Index","Quarterly","1962-Q3","13.91083156963861","Units"
