"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1957-Q1","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1957-Q2","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1957-Q3","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1957-Q4","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1958-Q1","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1958-Q2","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1958-Q3","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1958-Q4","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1959-Q1","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1959-Q2","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1959-Q3","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1959-Q4","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1960-Q1","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1960-Q2","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1960-Q3","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1960-Q4","4.2000000032","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1961-Q1","4.13333333646667","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1961-Q2","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1961-Q3","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1961-Q4","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1962-Q1","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1962-Q2","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1962-Q3","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1962-Q4","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1963-Q1","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1963-Q2","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1963-Q3","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1963-Q4","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1964-Q1","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1964-Q2","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1964-Q3","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1964-Q4","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1965-Q1","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1965-Q2","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1965-Q3","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1965-Q4","4.000000003","Units"
"Germany","Domestic currency per US Dollar","Period average","Quarterly","1966-Q1","4.000000003","Units"
