"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M01","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M02","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M03","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M04","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M05","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M06","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M07","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M08","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M09","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M10","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M11","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1957-M12","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M01","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M02","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M03","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M04","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M05","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M06","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M07","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M08","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M09","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M10","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M11","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1958-M12","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M01","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M02","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M03","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M04","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M05","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M06","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M07","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M08","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M09","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M10","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M11","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1959-M12","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M01","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M02","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M03","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M04","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M05","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M06","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M07","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M08","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M09","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M10","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M11","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1960-M12","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M01","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M02","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M03","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M04","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M05","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M06","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M07","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M08","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M09","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M10","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M11","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1961-M12","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1962-M01","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1962-M02","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1962-M03","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1962-M04","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1962-M05","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1962-M06","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1962-M07","0.357142999357143","Units"
"United Kingdom","Domestic currency per US Dollar","Period average","Monthly","1962-M08","0.357142999357143","Units"
