"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1950-M12","190","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1951-M12","455.5714285782313","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1952-M12","960.476190509637","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1953-M12","1774.600476268141","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1954-M12","2577.720296353688","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1955-M12","3011.233535992535","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1956-M12","4203.24667448572","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M01","4275.80373995865","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M02","4378.82143678717","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M03","4460.73293126368","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M04","4593.43788848468","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M05","4714.77002140418","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M06","4836.59855082792","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M07","4825.81397574942","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M08","5153.54973011951","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M09","5399.8815937253","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M10","5309.46198937111","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M11","5282.61824251044","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M12","5193.95831914212","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1958-M01","5126.2606252823","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1958-M02","5099.80081449055","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1958-M03","5172.68249975222","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1958-M04","5249.1245044126","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1958-M05","5403.25433654994","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1958-M06","5413.84890276428","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1958-M07","5500.99269503687","Millions"
"Germany","Total reserves (gold at national valuation)","US dollar","Monthly","1958-M08","5590.20477326464","Millions"
