"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1950-M12","3442.26000286174","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1951-M12","2375.075002171925","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1952-M12","1956.47000148253","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1953-M12","2669.62000238783","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1954-M12","3033.675002773775","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1955-M12","2392.06000224841","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1956-M12","2276.04000177296","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M01","2187.47000001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M02","2251.37500001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M03","2313.20500001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M04","2318.99000001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M05","2346.75000001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M06","2380.01000001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M07","2368.57500001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M08","2141.67500001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M09","1851.09500001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M10","2091.47000001562","Millions"
"United Kingdom","Total reserves (gold at national valuation)","US dollar","Monthly","1957-M11","2187.33000001562","Millions"
