"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1950-Q4","24265.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1951-Q4","24298.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1952-Q4","24713.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1953-Q4","23458.1","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1954-Q4","22978.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1955-Q4","22797.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1956-Q4","23665.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1957-Q1","23993.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1957-Q2","24381.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1957-Q3","24657.1","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1957-Q4","24832","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1958-Q1","24528.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1958-Q2","23496.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1958-Q3","22960.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1958-Q4","22539.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1959-Q1","22278.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1959-Q2","21857.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1959-Q3","21664","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1959-Q4","21504.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1960-Q1","21344.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1960-Q2","21169.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1960-Q3","20430","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1960-Q4","19358.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1961-Q1","18988.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1961-Q2","19307.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1961-Q3","19520.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1961-Q4","18752.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1962-Q1","18328.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1962-Q2","18490.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1962-Q3","17610.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1962-Q4","17220.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1963-Q1","17188.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","Quarterly","1963-Q2","17064.7","Millions"
