"COUNTRY","PRODUCTION_INDEX","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Industrial Production","Index","Monthly","1955-M01","42.97339450435275","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M02","44.19749637629374","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M03","45.82963220554839","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M04","42.14805309069556","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M05","43.78946241898007","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M06","42.97339450435275","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M07","38.46647397584272","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M08","36.83433814658805","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M09","44.60553033360738","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M10","46.65497361920556","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M11","47.06300757651923","Units"
"United Kingdom","Industrial Production","Index","Monthly","1955-M12","44.19749637629372","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M01","44.19749637629372","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M02","45.01356429092104","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M03","45.42159824823471","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M04","43.38142846166638","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M05","42.97339450435272","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M06","44.60553033360737","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M07","39.69984934681354","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M08","34.78489486098987","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M09","44.19749637629372","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M10","45.42159824823471","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M11","46.65497361920555","Units"
"United Kingdom","Industrial Production","Index","Monthly","1956-M12","42.55608704800919","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M01","43.78946241898003","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M02","46.24693966189187","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M03","46.65497361920553","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M04","42.55608704800918","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M05","46.24693966189187","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M06","44.1974963762937","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M07","40.51591726144087","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M08","36.83433814658804","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M09","45.82963220554837","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M10","45.82963220554837","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M11","47.47104153383288","Units"
"United Kingdom","Industrial Production","Index","Monthly","1957-M12","43.38142846166636","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M01","43.38142846166636","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M02","46.24693966189186","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M03","47.06300757651918","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M04","42.55608704800919","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M05","43.78946241898003","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M06","43.38142846166638","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M07","39.69984934681355","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M08","36.00899673293087","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M09","43.78946241898006","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M10","45.42159824823472","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M11","46.65497361920556","Units"
"United Kingdom","Industrial Production","Index","Monthly","1958-M12","43.78946241898005","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M01","44.66117132778652","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M02","45.97800819002607","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M03","44.22531687338327","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M04","47.2948450522656","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M05","45.54215373562283","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M06","47.29484505226562","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M07","41.60091664793402","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M08","38.96724292345491","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M09","48.16655396107206","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M10","50.35509973211807","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M11","50.7909541865213","Units"
"United Kingdom","Industrial Production","Index","Monthly","1959-M12","47.73069950666882","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M01","49.03826286987851","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M02","50.79095418652129","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M03","52.10779104876084","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M04","48.60240841547528","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M05","51.23608213995438","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M06","49.0382628698785","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M07","44.66117132778648","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M08","42.03677110233725","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M09","50.79095418652131","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M10","52.10779104876086","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M11","52.10779104876086","Units"
"United Kingdom","Industrial Production","Index","Monthly","1960-M12","49.03826286987854","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M01","49.03826286987854","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M02","51.23608213995442","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M03","51.67193659435765","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M04","50.35509973211812","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M05","49.48339082331166","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M06","51.67193659435768","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M07","47.73069950666888","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M08","40.2840797856945","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M09","50.79095418652135","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M10","51.67193659435767","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M11","52.1077910487609","Units"
"United Kingdom","Industrial Production","Index","Monthly","1961-M12","48.60240841547533","Units"
"United Kingdom","Industrial Production","Index","Monthly","1962-M01","48.60240841547533","Units"
"United Kingdom","Industrial Production","Index","Monthly","1962-M02","51.23608213995444","Units"
"United Kingdom","Industrial Production","Index","Monthly","1962-M03","52.97949995756737","Units"
"United Kingdom","Industrial Production","Index","Monthly","1962-M04","49.03826286987855","Units"
"United Kingdom","Industrial Production","Index","Monthly","1962-M05","52.10779104876089","Units"
"United Kingdom","Industrial Production","Index","Monthly","1962-M06","50.79095418652134","Units"
"United Kingdom","Industrial Production","Index","Monthly","1962-M07","46.41386264442932","Units"
